"Store.no","Item.no","NS.ar","NS.diff","NS.ma","S.ar","S.diff","S.ma","AIC.value","SSE.value"
3,28,1,0,1,1,1,1,-2069.84303916538,20.0183388333289
3,29,1,0,1,1,1,1,-1718.34533257695,25.3270223446179
3,30,1,0,1,1,1,1,-892.582899122627,45.0187699959909
3,31,1,0,1,1,1,2,-1463.99650570005,30.1358480928746
3,32,1,0,1,1,1,1,-1132.61546138154,37.8948552131435
3,33,1,0,1,1,1,1,-1716.61766451116,25.4379631238501
3,34,1,0,1,1,1,1,-406.756386600967,62.5953742156503
3,35,1,0,1,1,1,1,-1661.9814380737,26.3395184154485
3,36,1,0,1,1,1,1,-1822.94134070044,23.5734006224092
3,37,1,0,2,1,1,1,-496.432438201297,58.873875866034
3,38,1,0,1,1,1,2,-1807.34553990814,23.9317288087588
3,39,1,0,1,1,1,2,-1061.8251440951,39.9944573932384
3,40,1,0,1,1,1,1,-504.614866030934,58.3582537685937
3,41,1,0,1,1,1,1,-113.887480008326,76.3785440351416
3,42,1,0,1,1,1,1,-747.253356993311,49.699989655644
3,43,1,0,1,1,1,1,-1307.46211701039,33.6082020345024
3,44,1,0,1,1,1,1,-491.703435005518,59.2089563146169
3,45,2,0,1,1,1,1,-1901.22050080024,22.4175454799848
3,46,1,0,1,1,1,1,-1481.39089132288,29.7922297821928
3,47,1,0,2,1,1,1,-218.256717385745,70.9546052675321
3,48,1,0,1,1,1,1,-1274.51935326438,34.6193850783297
3,49,1,0,1,1,1,2,-441.651986825004,60.8809430591388
3,50,1,0,1,1,1,1,-1663.20596467118,26.2907112779931
4,1,1,0,1,1,1,1,-20.603047187733,82.1773194754477
4,2,2,0,1,1,1,1,-1327.82742829641,33.1067228628864
4,3,1,0,1,2,1,1,-701.736677268054,50.9202054613532
4,4,1,0,1,1,1,2,-38.7873763208145,80.3106532808037
4,5,1,0,1,2,1,1,225.592529838702,96.37313513873
4,6,1,0,1,2,1,1,-1452.59937830272,30.4506860251792
4,7,1,0,1,1,1,1,-1334.4704277032,33.2042220636322
4,8,1,0,1,1,1,1,-1670.37160952776,26.4741874130624
4,9,1,0,1,1,1,1,-1232.48146006107,35.3880852477671
4,10,1,0,1,1,1,1,-1704.11721768513,25.7136061787981
4,11,2,0,1,1,1,1,-1679.26702249442,26.2103030690935
4,12,1,0,1,1,1,1,-1580.98679669555,27.9462064958266
4,13,2,0,1,1,1,1,-1978.98957686743,21.3348030816644
4,14,1,0,1,1,1,1,-1391.74017666961,31.8540398974967
